feature	param0_importance	param1_importance	Category8	Category6
GO:0008202	0	0	GO_terms	GO_terms
GO:0008251	0	0	GO_terms	GO_terms
GO:0008289	0	0	GO_terms	GO_terms
GO:0008380	0	2.98176521088454e-05	GO_terms	GO_terms
GO:0008474	0	0	GO_terms	GO_terms
GO:0008483	0	0	GO_terms	GO_terms
GO:0008519	0	0	GO_terms	GO_terms
GO:0008553	0	0	GO_terms	GO_terms
GO:0008652	0	0.0013405547816598	GO_terms	GO_terms
GO:0008654	0	0	GO_terms	GO_terms
GO:0008823	0	0	GO_terms	GO_terms
GO:0009051	0	0	GO_terms	GO_terms
GO:0009060	0	4.01613224777801e-06	GO_terms	GO_terms
GO:0009073	0	0	GO_terms	GO_terms
GO:0009082	0	0	GO_terms	GO_terms
GO:0009088	0	0	GO_terms	GO_terms
GO:0009097	0	0	GO_terms	GO_terms
GO:0009099	0	0	GO_terms	GO_terms
GO:0009156	0	0	GO_terms	GO_terms
GO:0009165	0	0	GO_terms	GO_terms
GO:0009263	0	0	GO_terms	GO_terms
GO:0009267	0	0	GO_terms	GO_terms
GO:0009298	0	0	GO_terms	GO_terms
GO:0009383	0	0	GO_terms	GO_terms
GO:0009423	0	0	GO_terms	GO_terms
GO:0009443	0	0	GO_terms	GO_terms
GO:0009450	0	0	GO_terms	GO_terms
GO:0009749	0	0	GO_terms	GO_terms
GO:0010008	0.00021691431384796	0	GO_terms	GO_terms
GO:0010494	0.00096483341661846	0	GO_terms	GO_terms
GO:0010499	0	0	GO_terms	GO_terms
GO:0010520	0	0	GO_terms	GO_terms
GO:0010604	0	0	GO_terms	GO_terms
GO:0015093	0	0	GO_terms	GO_terms
GO:0015171	0	0	GO_terms	GO_terms
GO:0015205	0	0	GO_terms	GO_terms
GO:0015297	0	0	GO_terms	GO_terms
GO:0015386	0	0	GO_terms	GO_terms
GO:0015813	0	0	GO_terms	GO_terms
GO:0015833	0.015738765499083	0.0374760267356094	GO_terms	GO_terms
GO:0015851	0	0	GO_terms	GO_terms
GO:0015886	0	0	GO_terms	GO_terms
GO:0015935	0	0	GO_terms	GO_terms
GO:0015937	0	0	GO_terms	GO_terms
GO:0015986	0	0	GO_terms	GO_terms
GO:0016020	0	0	GO_terms	GO_terms
GO:0016126	0	0	GO_terms	GO_terms
